admin0pcode,organization_tag,organization_name
AF,ancc,Afghanistan National Re-Construction Coordination
AF,cww,Concern World Wide
AF,frdo,Female Rehabilitation Development Organization
AF,hadaf,Humanitarian Assistance and Development Association for Afghanistan
AF,icrc,International Committee of the Red Cross and Red Crescent
AF,sfl,Shelter For Life International
AF,unmas,United Nations Mine Action Service
AF,zoa,ZOA International
ET,cww,Concern World Wide
ET,unocha,Office for the Coordination of Humanitarian Affairs